ProductID,CategoryID,ProductName,UnitPrice,UnitCost,LaunchDate,IsActive
28,2,Northstar Professional Cookware Set,240.06,112.97,2022-11-03,Yes
29,2,Northstar Professional Coffee Maker,229.01,115.01,2026-06-03,Yes
30,2,Northstar Professional Blender,54.79,28.31,2023-02-04,No
31,3,Northstar Ergonomic Desk Chair,253.74,137.04,2022-05-21,Yes
32,3,Northstar Ergonomic Desk Lamp,184.33,85.13,2023-03-14,Yes
33,3,Northstar Ergonomic Organizer,127.13,87.85,2025-02-27,Yes
34,3,Northstar Executive Desk Chair,50.00,32.10,2025-12-18,Yes
35,3,Northstar Executive Desk Lamp,347.76,199.20,2026-03-31,Yes
36,3,Northstar Executive Organizer,233.77,153.24,2022-11-08,Yes
37,3,Northstar Essential Desk Chair,30.92,20.19,2025-11-11,Yes
38,3,Northstar Essential Desk Lamp,133.66,74.07,2024-05-25,Yes
39,3,Northstar Essential Organizer,323.74,168.71,2022-05-22,Yes
40,3,Northstar Compact Desk Chair,312.89,200.20,2021-10-11,Yes
41,3,Northstar Compact Desk Lamp,132.51,74.39,2025-02-22,Yes
42,3,Northstar Compact Organizer,27.38,19.07,2026-05-27,Yes
43,3,Northstar Premium Desk Chair,260.88,177.82,2026-04-29,Yes
44,3,Northstar Premium Desk Lamp,152.88,74.05,2023-06-12,Yes
45,3,Northstar Premium Organizer,316.36,214.95,2022-03-31,Yes
46,4,Northstar Performance Dumbbell Set,86.89,40.59,2021-08-17,Yes
47,4,Northstar Performance Yoga Mat,16.94,9.61,2026-03-26,Yes
48,4,Northstar Performance Resistance Kit,243.57,126.29,2025-01-02,Yes
49,4,Northstar Adjustable Dumbbell Set,229.73,125.82,2025-11-19,Yes
50,4,Northstar Adjustable Yoga Mat,118.08,63.04,2024-11-04,Yes
51,4,Northstar Adjustable Resistance Kit,169.50,95.68,2022-07-24,Yes
52,4,Northstar Portable Dumbbell Set,56.21,29.01,2025-09-16,Yes
53,4,Northstar Portable Yoga Mat,87.51,60.86,2022-03-26,Yes
54,4,Northstar Portable Resistance Kit,101.99,54.34,2021-01-25,Yes
55,4,Northstar Essential Dumbbell Set,110.90,70.73,2023-06-29,Yes
56,4,Northstar Essential Yoga Mat,119.71,54.54,2021-04-25,Yes
57,4,Northstar Essential Resistance Kit,63.82,40.36,2023-01-05,Yes
58,4,Northstar Professional Dumbbell Set,130.73,73.00,2021-03-29,Yes
59,4,Northstar Professional Yoga Mat,83.92,40.59,2023-10-13,Yes
60,4,Northstar Professional Resistance Kit,23.26,13.12,2021-12-22,Yes
61,5,Northstar Trail Backpack,274.32,165.70,2021-06-01,Yes
62,5,Northstar Trail Camping Chair,226.21,114.61,2023-01-01,Yes
63,5,Northstar Trail Cooler,140.81,64.80,2022-06-10,Yes
64,5,Northstar Weatherproof Backpack,117.05,81.30,2023-06-17,Yes
65,5,Northstar Weatherproof Camping Chair,249.07,161.09,2022-09-11,Yes
66,5,Northstar Weatherproof Cooler,149.93,73.00,2025-11-01,Yes
67,5,Northstar Adventure Backpack,104.40,71.18,2024-03-23,Yes
68,5,Northstar Adventure Camping Chair,270.02,160.07,2022-04-02,Yes
69,5,Northstar Adventure Cooler,158.35,84.36,2025-09-21,Yes
70,5,Northstar Lightweight Backpack,171.33,118.83,2025-12-10,Yes
71,5,Northstar Lightweight Camping Chair,60.79,34.64,2021-05-15,Yes
72,5,Northstar Lightweight Cooler,240.87,108.65,2025-01-30,Yes
73,5,Northstar Expedition Backpack,205.23,114.38,2023-01-21,Yes
74,5,Northstar Expedition Camping Chair,36.93,19.93,2023-03-27,Yes
75,5,Northstar Expedition Cooler,197.57,126.30,2025-09-21,Yes
76,6,Northstar Daily Skin Care Set,58.10,30.91,2021-05-01,Yes
77,6,Northstar Daily Hair Dryer,22.73,15.84,2025-03-05,Yes
78,6,Northstar Daily Grooming Kit,109.94,56.11,2022-06-07,Yes
79,6,Northstar Radiant Skin Care Set,107.76,61.56,2025-05-18,Yes
80,6,Northstar Radiant Hair Dryer,52.30,36.44,2024-04-02,Yes
81,6,Northstar Radiant Grooming Kit,23.91,15.47,2022-09-19,Yes
82,6,Northstar Essential Skin Care Set,84.04,49.75,2025-10-14,Yes
83,6,Northstar Essential Hair Dryer,79.09,51.05,2023-08-08,Yes
84,6,Northstar Essential Grooming Kit,154.38,92.85,2022-02-07,Yes
85,6,Northstar Premium Skin Care Set,29.53,15.30,2021-06-12,Yes
86,6,Northstar Premium Hair Dryer,75.92,49.12,2026-03-10,Yes
87,6,Northstar Premium Grooming Kit,111.70,58.03,2021-04-21,Yes
88,6,Northstar Refreshing Skin Care Set,147.19,72.27,2025-06-26,Yes
89,6,Northstar Refreshing Hair Dryer,165.09,85.44,2022-04-22,Yes
90,6,Northstar Refreshing Grooming Kit,16.76,11.07,2023-11-05,Yes
91,7,Northstar Comfort Pet Bed,23.33,11.15,2022-03-16,Yes
92,7,Northstar Comfort Feeding Set,153.88,80.32,2025-03-19,Yes
93,7,Northstar Comfort Toy Pack,123.03,81.44,2026-05-10,Yes
94,7,Northstar Durable Pet Bed,130.90,69.00,2025-01-22,Yes
95,7,Northstar Durable Feeding Set,30.74,17.68,2022-09-04,Yes
96,7,Northstar Durable Toy Pack,47.10,24.64,2026-06-25,Yes
97,7,Northstar Interactive Pet Bed,14.07,9.02,2021-03-23,Yes
98,7,Northstar Interactive Feeding Set,21.00,9.69,2021-01-15,No
99,7,Northstar Interactive Toy Pack,128.47,78.17,2022-11-10,Yes
100,7,Northstar Travel Pet Bed,29.83,17.37,2024-06-28,Yes
101,7,Northstar Travel Feeding Set,131.89,76.21,2026-06-25,No
102,7,Northstar Travel Toy Pack,41.70,20.48,2024-05-10,Yes
103,7,Northstar Premium Pet Bed,154.17,87.38,2021-10-03,Yes
104,7,Northstar Premium Feeding Set,135.31,82.33,2021-10-08,Yes
105,7,Northstar Premium Toy Pack,25.23,15.52,2021-01-21,Yes
106,8,Northstar Creative Board Game,72.87,43.20,2025-07-21,Yes
107,8,Northstar Creative Building Set,28.99,15.61,2026-07-06,Yes
108,8,Northstar Creative Activity Kit,15.23,7.53,2026-06-06,No
109,8,Northstar Family Board Game,33.50,17.37,2026-01-18,Yes
110,8,Northstar Family Building Set,33.94,17.57,2025-07-31,Yes
111,8,Northstar Family Activity Kit,25.98,14.40,2022-04-07,Yes
112,8,Northstar Classic Board Game,139.04,76.97,2021-06-14,Yes
113,8,Northstar Classic Building Set,74.12,41.96,2021-10-16,Yes
114,8,Northstar Classic Activity Kit,37.83,26.32,2026-03-06,Yes
115,8,Northstar Educational Board Game,37.29,23.94,2022-10-16,Yes
116,8,Northstar Educational Building Set,105.53,72.26,2023-08-17,Yes
117,8,Northstar Educational Activity Kit,135.17,86.72,2021-11-22,Yes
118,8,Northstar Adventure Board Game,38.55,19.62,2025-03-20,Yes
119,8,Northstar Adventure Building Set,42.97,27.46,2025-01-22,Yes
120,8,Northstar Adventure Activity Kit,136.24,93.14,2021-09-08,Yes
